"playerID","tmID","GP","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","center","forward","guard","allstar","minutesPerGame","pointsPerGame","assistsPerGame","oReboundsPerGame","dReboundsPerGame","reboundsPerGame","stealsPerGame","blocksPerGame","turnoversPerGame","fgAttemptedPerGame","fgMadePerGame","ftAttemptedPerGame","ftMadePerGame","threeAttemptedPerGame","threeMadePerGame","GPRatio","healthy","lgPoints","lgAssists","lgRebounds","lgDRebounds","lgORebounds","tmPoints","tmAssists","tmRebounds","tmDRebounds","tmORebounds","ftPct","fgPct","threePct","efgPct","astTovRatio","dReboundPct","oReboundPct","totalGameScore","avgGameScore"
"Brandon Knight","TOT",39,736,266,10,49,59,71,21,2,30,62,260,99,34,27,129,41,0,0,1,0,18.8717948717949,6.82051282051282,1.82051282051282,0.256410256410256,1.25641025641026,1.51282051282051,0.538461538461538,0.0512820512820513,0.769230769230769,6.66666666666667,2.53846153846154,0.871794871794872,0.692307692307692,3.30769230769231,1.05128205128205,0.475609756097561,0,0.00085139071151938,0.0010410862488636,0.000462647125706713,0.000497502335215043,0.000344411916652316,0.00684561340299045,0.00920285158781594,0.0035931790499391,0.00381649661188566,0.00279251605696733,0.794117647058823,0.380769230769231,0.317829457364341,0.459615384615385,2.36666666666667,0.830508474576271,0.169491525423729,176.2,4.51794871794872
"Brandon Knight","HOU",12,118,36,1,8,9,9,2,0,5,14,47,11,11,9,32,5,0,0,1,0,9.83333333333333,3,0.75,0.0833333333333333,0.666666666666667,0.75,0.166666666666667,0,0.416666666666667,3.91666666666667,0.916666666666667,0.916666666666667,0.75,2.66666666666667,0.416666666666667,0.146341463414634,0,0.00011522581058157,0.000131968679433414,7.0573290362041e-05,8.12248710555172e-05,3.44411916652316e-05,0.0038539770902473,0.00516944284893739,0.00260945201507683,0.00306161500191351,0.00119617224880383,0.818181818181818,0.234042553191489,0.15625,0.287234042553192,1.8,0.888888888888889,0.111111111111111,9.5,0.791666666666666
"Brandon Knight","CLE",27,618,230,9,41,50,62,19,2,25,48,213,88,23,18,97,36,0,0,1,0,22.8888888888889,8.51851851851852,2.2962962962963,0.333333333333333,1.51851851851852,1.85185185185185,0.703703703703704,0.0740740740740741,0.925925925925926,7.88888888888889,3.25925925925926,0.851851851851852,0.666666666666667,3.59259259259259,1.33333333333333,0.329268292682927,0,0.00073616490093781,0.000909117569430189,0.000392073835344672,0.000416277464159526,0.000309970724987085,0.0268472043889343,0.0365135453474676,0.0142938822184105,0.0156548300878198,0.0102389078498294,0.782608695652174,0.413145539906103,0.371134020618557,0.497652582159624,2.48,0.82,0.18,166.7,6.17407407407408
"Kevin Knox","NYK",75,2158,963,61,274,335,82,43,24,114,175,914,338,226,162,364,125,0,1,0,0,28.7733333333333,12.84,1.09333333333333,0.813333333333333,3.65333333333333,4.46666666666667,0.573333333333333,0.32,1.52,12.1866666666667,4.50666666666667,3.01333333333333,2.16,4.85333333333333,1.66666666666667,0.914634146341463,1,0.003082290433057,0.00120238130150444,0.0026268946968093,0.00278195183365146,0.00210091269157913,0.112303206997085,0.0498177399756987,0.091330425299891,0.0974742084667378,0.0711785297549592,0.716814159292035,0.36980306345733,0.343406593406593,0.438183807439825,0.719298245614035,0.817910447761194,0.182089552238806,540.9,7.212
"Furkan Korkmaz","PHI",48,679,279,16,91,107,52,29,2,25,62,245,98,44,36,144,47,0,0,1,0,14.1458333333333,5.8125,1.08333333333333,0.333333333333333,1.89583333333333,2.22916666666667,0.604166666666667,0.0416666666666667,0.520833333333333,5.10416666666667,2.04166666666667,0.916666666666667,0.75,3,0.979166666666667,0.585365853658537,0,0.00089300003200717,0.000762485703393061,0.000839038007637598,0.000923932908256508,0.000551059066643706,0.0295394388565379,0.0235613955595831,0.0273168241000766,0.0300826446280992,0.0179372197309417,0.818181818181818,0.4,0.326388888888889,0.495918367346939,2.08,0.850467289719626,0.149532710280374,217.8,4.5375
"Luke Kornet","NYK",46,784,322,28,107,135,54,27,42,25,41,283,107,46,38,193,70,0,1,0,0,17.0434782608696,7,1.17391304347826,0.608695652173913,2.32608695652174,2.93478260869565,0.58695652173913,0.91304347826087,0.543478260869565,6.15217391304348,2.32608695652174,1,0.826086956521739,4.19565217391304,1.52173913043478,0.560975609756098,0,0.00103063086131293,0.000791812076600487,0.00105859935543061,0.00108638265036754,0.000964353366626485,0.0375510204081633,0.0328068043742406,0.0368047982551799,0.0380647456421202,0.0326721120186698,0.826086956521739,0.378091872791519,0.362694300518135,0.501766784452297,2.16,0.792592592592593,0.207407407407407,296,6.43478260869565
"Kyle Korver","TOT",70,1334,600,9,153,162,81,25,12,59,106,483,201,73,60,348,138,0,1,1,0,19.0571428571429,8.57142857142857,1.15714285714286,0.128571428571429,2.18571428571429,2.31428571428571,0.357142857142857,0.171428571428571,0.842857142857143,6.9,2.87142857142857,1.04285714285714,0.857142857142857,4.97142857142857,1.97142857142857,0.853658536585366,1,0.0019204301763595,0.00118771811490073,0.00127031922651674,0.00155342565893677,0.000309970724987085,0.0154412332398281,0.01049902786779,0.00986601705237515,0.0119168159513981,0.00251326445127059,0.821917808219178,0.416149068322981,0.396551724137931,0.559006211180124,1.3728813559322,0.944444444444444,0.0555555555555556,433.2,6.18857142857143
"Kyle Korver","CLE",16,251,108,0,29,29,17,3,2,17,22,76,35,16,13,54,25,0,1,0,0,15.6875,6.75,1.0625,0,1.8125,1.8125,0.1875,0.125,1.0625,4.75,2.1875,1,0.8125,3.375,1.5625,0.195121951219512,0,0.000345677431744711,0.000249274172263116,0.00022740282449991,0.00029444015757625,0,0.0126065133652387,0.0100117785630153,0.0082904516866781,0.0110729285987018,0,0.8125,0.460526315789474,0.462962962962963,0.625,1,1,0,76.8,4.8
"Kyle Korver","UTA",54,1083,492,9,124,133,64,22,10,42,84,407,166,57,47,294,113,0,0,1,0,20.0555555555556,9.11111111111111,1.18518518518519,0.166666666666667,2.2962962962963,2.46296296296296,0.407407407407407,0.185185185185185,0.777777777777778,7.53703703703704,3.07407407407407,1.05555555555556,0.87037037037037,5.44444444444444,2.09259259259259,0.658536585365854,0,0.00157475274461479,0.000938443942637614,0.00104291640201683,0.00125898550136052,0.000309970724987085,0.053705927300513,0.0300046882325363,0.0349907918968692,0.0415967796041597,0.0109756097560976,0.824561403508772,0.407862407862408,0.384353741496599,0.546683046683047,1.52380952380952,0.932330827067669,0.0676691729323308,356.4,6.6
"Kosta Koufos","SAC",42,502,156,52,125,177,36,15,18,27,68,153,73,24,10,0,0,1,0,0,0,11.952380952381,3.71428571428571,0.857142857142857,1.23809523809524,2.97619047619048,4.21428571428571,0.357142857142857,0.428571428571429,0.642857142857143,3.64285714285714,1.73809523809524,0.571428571428571,0.238095238095238,0,0,0.51219512195122,0,0.000499311845853471,0.000527874717733658,0.00138794137712014,0.00126913861024246,0.00179094196659204,0.0166613264979173,0.0172827652424388,0.0475167785234899,0.0443419652358993,0.0573951434878587,0.416666666666667,0.477124183006536,0,0.477124183006536,1.33333333333333,0.706214689265537,0.293785310734463,145,3.45238095238095
